epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,2807.4,1.11146,0.72449,1.21651,0.95594,0.93653,0.96851,0.69376,0.89468,8.36314,1.01405,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,2975.05,1.11567,0.72359,1.21663,0.95769,0.93533,0.96834,0.69437,0.89417,8.32981,1.01338,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,3142.9,1.11259,0.72035,1.2127,0.95728,0.93537,0.96846,0.69455,0.8932,8.31366,1.01268,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,3311.33,1.11052,0.72073,1.21288,0.95801,0.9359,0.96829,0.69455,0.89311,8.28253,1.01287,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,3478.51,1.10575,0.71603,1.21236,0.95686,0.93665,0.96838,0.69548,0.89173,8.29659,1.01172,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,3646.76,1.10473,0.71175,1.20823,0.95613,0.93943,0.9685,0.69608,0.89034,8.23747,1.01033,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,3814.35,1.10175,0.70937,1.20745,0.95812,0.94015,0.96872,0.69707,0.88947,8.13652,1.01,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,3981.93,1.09707,0.71041,1.20518,0.95835,0.94112,0.96892,0.69709,0.88836,8.01934,1.00929,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,280.249,1.07871,0.68372,1.19832,0.95831,0.94309,0.96951,0.69747,0.88781,7.95416,1.00894,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,450.32,1.08861,0.69314,1.20034,0.95754,0.94426,0.97154,0.698,0.88754,7.92121,1.00837,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
